DATE,PITT342PCPI
1969-01-01,3821
1970-01-01,4089
1971-01-01,4302
1972-01-01,4669
1973-01-01,5129
1974-01-01,5753
1975-01-01,6360
1976-01-01,6947
1977-01-01,7680
1978-01-01,8474
1979-01-01,9443
1980-01-01,10422
1981-01-01,11553
1982-01-01,12207
1983-01-01,12540
1984-01-01,13443
1985-01-01,14215
1986-01-01,14816
1987-01-01,15558
1988-01-01,16959
1989-01-01,18259
1990-01-01,19523
1991-01-01,20357
1992-01-01,21339
1993-01-01,22008
1994-01-01,22721
1995-01-01,23681
1996-01-01,24850
1997-01-01,26293
1998-01-01,27390
1999-01-01,28831
2000-01-01,30695
2001-01-01,31469
2002-01-01,32036
2003-01-01,32858
2004-01-01,34498
2005-01-01,35904
2006-01-01,38383
2007-01-01,40425
2008-01-01,42441
2009-01-01,41296
2010-01-01,42700
2011-01-01,44966
2012-01-01,46629
2013-01-01,46778
2014-01-01,48591
2015-01-01,50622
2016-01-01,51187
